source,doi,arxiv_id,posted_date,title,abstract
bioRxiv,10.1101/2020.03.10.985150,NA,2020-03-10,A proposal of alternative primers for the ARTIC Network’s multiplex PCR to improve coverage of SARS-CoV-2 genome sequencing,"<jats:title>Abstract</jats:title><jats:p>A group of biologists, ARTIC Network, has proposed a multiplexed PCR primer set for whole-genome analysis of the novel coronavirus, SARS-CoV-2, soon after the start of COVID-19 epidemics was realized. The primer set was adapted by many researchers worldwide and has already contributed to the high-quality and prompt genome epidemiology of this rapidly spreading viral disease. We have also seen the great performance of their primer set and protocol; the primer set amplifies all desired 98 PCR amplicons with fairly small amplification bias from clinical samples with relatively high viral load. However, we also observed an acute drop of reads derived from some amplicons especially amplicon 18 and 76 in “pool 2” as a sample’s viral load decreases. We suspected this low coverage issue was due to dimer formation between primers targeting those two amplicons. Indeed, replacement of just one of those primers, nCoV-2019_76_RIGHT, to a newly designed primer resulted in a drastic improvement of coverages at both regions targeted by the amplicons 18 and 76. Given this result, we further replaced four primers in “pool 1” with each respective alternative. These modifications also improved coverage in eight amplicons particularly in samples with low viral load. The results of our experiments clearly indicate that primer dimer formation is one critical cause of coverage bias in ARTIC protocol. Importantly, some of the problematic primers are detectable by observing primer dimers in raw NGS sequence reads and replacing them with alternatives as shown in this study. We expect a continuous improvement of the ARTIC primer set will extend the limit for completion of SARS-CoV-2 genomes to samples with lower viral load, that supports better genomic epidemiology and mitigation of spread of this pathogen.</jats:p>"
bioRxiv,10.1101/2020.03.22.002386,NA,2020-03-22,A SARS-CoV-2-Human Protein-Protein Interaction Map Reveals Drug Targets and Potential Drug-Repurposing,"<jats:p>An outbreak of the novel coronavirus SARS-CoV-2, the causative agent of COVID-19 respiratory disease, has infected over 290,000 people since the end of 2019, killed over 12,000, and caused worldwide social and economic disruption. There are currently no antiviral drugs with proven efficacy nor are there vaccines for its prevention. Unfortunately, the scientific community has little knowledge of the molecular details of SARS-CoV-2 infection. To illuminate this, we cloned, tagged and expressed 26 of the 29 viral proteins in human cells and identified the human proteins physically associated with each using affinity-purification mass spectrometry (AP-MS), which identified 332 high confidence SARS-CoV-2-human protein-protein interactions (PPIs). Among these, we identify 67 druggable human proteins or host factors targeted by 69 existing FDA-approved drugs, drugs in clinical trials and/or preclinical compounds, that we are currently evaluating for efficacy in live SARS-CoV-2 infection assays. The identification of host dependency factors mediating virus infection may provide key insights into effective molecular targets for developing broadly acting antiviral therapeutics against SARS-CoV-2 and other deadly coronavirus strains.</jats:p>"
bioRxiv,10.1101/2020.02.22.961268,NA,2020-02-27,A simple magnetic nanoparticles-based viral RNA extraction method for efficient detection of SARS-CoV-2,"<jats:label>1</jats:label><jats:title>Abstract</jats:title><jats:p>The ongoing outbreak of the novel coronavirus disease 2019 (COVID-19) originating from Wuhan, China, draws worldwide concerns due to its long incubation period and strong infectivity. Although RT-PCR-based molecular diagnosis techniques are being widely applied for clinical diagnosis currently, timely and accurate diagnosis are still limited due to labour intensive and time-consuming operations of these techniques. To address the issue, herein we report the synthesis of poly (amino ester) with carboxyl groups (PC)-coated magnetic nanoparticles (pcMNPs), and the development of pcMNPs-based viral RNA extraction method for the sensitive detection of COVID-19 causing virus, the SARS-CoV-2. This method combines the lysis and binding steps into one step, and the pcMNPs-RNA complexes can be directly introduced into subsequent RT-PCR reactions. The simplified process can purify viral RNA from multiple samples within 20 min using a simple manual method or an automated high-throughput approach. By identifying two different regions (<jats:italic>ORFlab</jats:italic> and <jats:italic>N</jats:italic> gene) of viral RNA, a 10-copy sensitivity and a strong linear correlation between 10 and 10<jats:sup>5</jats:sup> copies of SARS-CoV-2 pseudovirus particles are achieved. Benefitting from the simplicity and excellent performances, this new extraction method can dramatically reduce the turn-around time and operational requirements in current molecular diagnosis of COVID-19, in particular for the early clinical diagnosis.</jats:p>"
bioRxiv,10.1101/2020.03.24.005298,NA,2020-03-24,A unifying structural and functional model of the coronavirus replication organelle: tracking down RNA synthesis,"<jats:title>Abstract</jats:title><jats:p>Zoonotic coronavirus (CoV) infections, like those responsible for the current SARS-CoV-2 epidemic, cause grave international public health concern. In infected cells, the CoV RNA-synthesizing machinery associates with modified endoplasmic reticulum membranes that are transformed into the viral replication organelle (RO). While double-membrane vesicles (DMVs) appear to be a <jats:italic>pan</jats:italic>-coronavirus RO element, studies to date describe an assortment of additional coronavirus-induced membrane structures. Despite much speculation, it remains unclear which RO element(s) accommodate viral RNA synthesis. Here we provide detailed 2D and 3D analyses of CoV ROs and show that diverse CoVs essentially induce the same membrane modifications, including the small open double-membrane spherules (DMSs) previously thought to be restricted to gamma- and delta-CoV infections and proposed as sites of replication. Metabolic labelling of newly-synthesized viral RNA followed by quantitative EM autoradiography revealed abundant viral RNA synthesis associated with DMVs in cells infected with the beta-CoVs MERS-CoV and SARS-CoV, and the gamma-CoV infectious bronchitis virus. RNA synthesis could not be linked to DMSs or any other cellular or virus-induced structure. Our results provide a unifying model of the CoV RO and clearly establish DMVs as the central hub for viral RNA synthesis and a potential drug target in coronavirus infection.</jats:p>"
bioRxiv,10.1101/2020.02.12.945576,NA,2020-02-20,Aberrant pathogenic GM-CSF+ T cells and inflammatory CD14+CD16+ monocytes in severe pulmonary syndrome patients of a new coronavirus,"<jats:p>Pathogenic human coronavirus infections, such as severe acute respiratory syndrome CoV (SARS-CoV) and Middle East respiratory syndrome CoV (MERS-CoV), cause high morbidity and mortality <jats:sup>1,2</jats:sup>. Recently, a severe pneumonia-associated respiratory syndrome caused by a new coronavirus was reported at December 2019 (2019-nCoV) in the city Wuhan, Hubei province, China<jats:sup>3–5</jats:sup>, which was also named as pneumonia-associated respiratory syndrome (PARS)<jats:sup>6</jats:sup>. Up to 9th of February 2020, at least 37, 251 cases have been reported with 812 fatal cases according to the report from China CDC. However, the immune mechanism that potential orchestrated acute mortality from patients of 2019-nCoV is still unknown. Here we show that after the 2019-nCoV infection, CD4<jats:sup>+</jats:sup>T lymphocytes are rapidly activated to become pathogenic T helper (Th) 1 cells and generate GM-CSF etc. The cytokines environment induces inflammatory CD14<jats:sup>+</jats:sup>CD16<jats:sup>+</jats:sup> monocytes with high expression of IL-6 and accelerates the inflammation. These aberrant and excessive immune cells may enter the pulmonary circulation in huge numbers and play an immune damaging role to causing lung functional disability and quick mortality. Our results demonstrate that excessive non-effective host immune responses by pathogenic T cells and inflammatory monocytes may associate with severe lung pathology. Therefore, we suggest that monoclonal antibody that targets the GM-CSF or interleukin 6 receptor may potentially curb immunopathology caused by 2019-nCoV and consequently win more time for virus clearance.</jats:p>"
bioRxiv,10.1101/2020.03.13.990242,NA,2020-03-14,Accurate Identification of SARS-CoV-2 from Viral Genome Sequences using Deep Learning,"<jats:p>One of the reasons for the fast spread of SARS-CoV-2 is the lack of accuracy in detection tools in the clinical field. Molecular techniques, such as quantitative real-time RT-PCR and nucleic acid sequencing methods, are widely used to identify pathogens. For this particular virus, however, they have an overall unsatisfying detection rate, due to its relatively recent emergence and still not completely understood features. In addition, SARS-CoV-2 is remarkably similar to other Coronaviruses, and it can present with other respiratory infections, making identification even harder. To tackle this issue, we propose an assisted detection test, combining molecular testing with deep learning. The proposed approach employs a state-of-the-art deep convolutional neural network, able to automatically create features starting from the genome sequence of the virus. Experiments on data from the Novel Coronavirus Resource (2019nCoVR) show that the proposed approach is able to correctly classify SARS-CoV-2, distinguishing it from other coronavirus strains, such as MERS-CoV, HCoV-NL63, HCoV-OC43, HCoV-229E, HCoV-HKU1, and SARS-CoV regardless of missing information and errors in sequencing (noise). From a dataset of 553 complete genome non-repeated sequences that vary from 1,260 to 31,029 bps in length, the proposed approach classifies the different coronaviruses with an average accuracy of 98.75% in a 10-fold cross-validation, identifying SARS-CoV-2 with an AUC of 98%, specificity of 0.9939 and sensitivity of 1.00 in a binary classification. Then, using the same basis, we classify SARS-CoV-2 from 384 complete viral genome sequences with human host, that contain the gene <jats:italic>ORF1ab</jats:italic> from the NCBI with a 10-fold accuracy of 98.17% , a specificity of 0.9797 and sensitivity of 1.00. These preliminary results seem encouraging enough to identify deep learning as a promising research venue to develop assisted detection tests for SARS-CoV-2. At this end the interaction between viromics and <jats:italic>deep learning</jats:italic>, will hopefully help to solve global infection problems. In addition, we offer our code and processed data to be used for diagnostic purposes by medical doctors, virologists and scientists involved in solving the SARS-CoV-2 pandemic. As more data become available we will update our system.</jats:p>"
bioRxiv,10.1101/2020.03.08.982637,NA,2020-03-10,Aerodynamic Characteristics and RNA Concentration of SARS-CoV-2 Aerosol in Wuhan Hospitals during COVID-19 Outbreak,"<jats:title>Abstract</jats:title><jats:sec><jats:title>Background</jats:title><jats:p>The ongoing outbreak of COVID-19 has spread rapidly and sparked global concern. While the transmission of SARS-CoV-2 through human respiratory droplets and contact with infected persons is clear, the aerosol transmission of SARS-CoV-2 has been little studied.</jats:p></jats:sec><jats:sec><jats:title>Methods</jats:title><jats:p>Thirty-five aerosol samples of three different types (total suspended particle, size segregated and deposition aerosol) were collected in Patient Areas (PAA) and Medical Staff Areas (MSA) of Renmin Hospital of Wuhan University (Renmin) and Wuchang Fangcang Field Hospital (Fangcang), and Public Areas (PUA) in Wuhan, China during COVID-19 outbreak. A robust droplet digital polymerase chain reaction (ddPCR) method was employed to quantitate the viral SARS-CoV-2 RNA genome and determine aerosol RNA concentration.</jats:p></jats:sec><jats:sec><jats:title>Results</jats:title><jats:p>The ICU, CCU and general patient rooms inside Renmin, patient hall inside Fangcang had undetectable or low airborne SARS-CoV-2 concentration but deposition samples inside ICU and air sample in Fangcang patient toilet tested positive. The airborne SARS-CoV-2 in Fangcang MSA had bimodal distribution with higher concentration than those in Renmin during the outbreak but turned negative after patients number reduced and rigorous sanitization implemented. PUA had undetectable airborne SARS-CoV-2 concentration but obviously increased with accumulating crowd flow.</jats:p></jats:sec><jats:sec><jats:title>Conclusions</jats:title><jats:p>Room ventilation, open space, proper use and disinfection of toilet can effectively limit aerosol transmission of SARS-CoV-2. Gathering of crowds with asymptomatic carriers is a potential source of airborne SARS-CoV-2. The virus aerosol deposition on protective apparel or floor surface and their subsequent resuspension is a potential transmission pathway and effective sanitization is critical in minimizing aerosol transmission of SARS-CoV-2.</jats:p></jats:sec>"
bioRxiv,10.1101/2020.03.03.972133,NA,2020-03-08,AI-aided design of novel targeted covalent inhibitors against SARS-CoV-2,"<jats:title>Abstract</jats:title><jats:p>The focused drug repurposing of known approved drugs (such as lopinavir/ritonavir) has been reported failed for curing SARS-CoV-2 infected patients. It is urgent to generate new chemical entities against this virus. As a key enzyme in the life-cycle of coronavirus, the 3C-like main protease (3CL<jats:sup>pro</jats:sup> or M<jats:sup>pro</jats:sup>) is the most attractive for antiviral drug design. Based on a recently solved structure (PDB ID: 6LU7), we developed a novel advanced deep Q-learning network with the fragment-based drug design (ADQN-FBDD) for generating potential lead compounds targeting SARS-CoV-2 3CL<jats:sup>pro</jats:sup>. We obtained a series of derivatives from those lead compounds by our structure-based optimization policy (SBOP). All the 47 lead compounds directly from our AI-model and related derivatives based on SBOP are accessible in our molecular library at <jats:ext-link xmlns:xlink=""http://www.w3.org/1999/xlink"" ext-link-type=""uri"" xlink:href=""https://github.com/tbwxmu/2019-nCov"">https://github.com/tbwxmu/2019-nCov</jats:ext-link>. These compounds can be used as potential candidates for researchers in their development of drugs against SARS-CoV-2.</jats:p>"
bioRxiv,10.1101/2020.03.19.998724,NA,2020-03-21,"All-in-One Dual CRISPR-Cas12a (AIOD-CRISPR) Assay: A Case for Rapid, Ultrasensitive and Visual Detection of Novel Coronavirus SARS-CoV-2 and HIV virus","<jats:title>Abstract</jats:title><jats:p>A recent outbreak of novel coronavirus (SARS-CoV-2), the causative agent of COVID-19, has spread rapidly all over the world. Human immunodeficiency virus (HIV) is another deadly virus and causes acquired immunodeficiency syndrome (AIDS). Rapid and early detection of these viruses will facilitate early intervention and reduce disease transmission risk. Here, we present an <jats:bold>A</jats:bold>ll-<jats:bold>I</jats:bold>n-<jats:bold>O</jats:bold>ne <jats:bold>D</jats:bold>ual <jats:bold>CRISPR</jats:bold>-Cas12a (termed “AIOD-CRISPR”) assay method for simple, rapid, ultrasensitive, one-pot, and visual detection of coronavirus SARS-CoV-2 and HIV virus. In our AIOD CRISPR assay, a pair of crRNAs was introduced to initiate dual CRISPR-Cas12a detection and improve detection sensitivity. The AIOD-CRISPR assay system was successfully utilized to detect nucleic acids (DNA and RNA) of SARS-CoV-2 and HIV with a sensitivity of few copies. Also, it was evaluated by detecting HIV-1 RNA extracted from human plasma samples, achieving a comparable sensitivity with real-time RT-PCR method. Thus, our method has a great potential for developing next-generation point-of-care molecular diagnostics.</jats:p>"
bioRxiv,10.1101/2020.02.10.936898,NA,2020-02-10,Alpha-ketoamides as broad-spectrum inhibitors of coronavirus and enterovirus replication,"<jats:title>ABSTRACT</jats:title><jats:p>The main protease of coronaviruses and the 3C protease of enteroviruses share a similar active-site architecture and a unique requirement for glutamine in the P1 position of the substrate. Because of their unique specificity and essential role in viral polyprotein processing, these proteases are suitable targets for the development of antiviral drugs. In order to obtain near-equipotent, broad-spectrum antivirals against alphacoronaviruses, betacoronaviruses, and enteroviruses, we pursued structure-based design of peptidomimetic α-ketoamides as inhibitors of main and 3C proteases. Six crystal structures of protease:inhibitor complexes were determined as part of this study. Compounds synthesized were tested against the recombinant proteases as well as in viral replicons and virus-infected cell cultures; most of them were not cell-toxic. Optimization of the P2 substituent of the α-ketoamides proved crucial for achieving near-equipotency against the three virus genera. The best near-equipotent inhibitors, <jats:bold>11u</jats:bold> (P2 = cyclopentylmethyl) and <jats:bold>11r</jats:bold> (P2 = cyclohexylmethyl), display low-micromolar EC<jats:sub>50</jats:sub> values against enteroviruses, alphacoronaviruses, and betacoronaviruses in cell cultures. In Huh7 cells, <jats:bold>11r</jats:bold> exhibits three-digit picomolar activity against Middle East Respiratory Syndrome coronavirus.</jats:p>"
bioRxiv,10.1101/2020.03.25.008805,NA,2020-03-26,An artificial intelligence-based first-line defence against COVID-19: digitally screening citizens for risks via a chatbot,"<jats:p>To combat the pandemic of the coronavirus disease (COVID-19), numerous governments have established phone hotlines to prescreen potential cases. These hotlines have struggled with the volume of callers, leading to wait times of hours or, even, an inability to contact health authorities. Symptoma is a symptom-to-disease digital health assistant that can differentiate more than 20,000 diseases with an accuracy of more than 90%. We tested the accuracy of Symptoma to identify COVID-19 using a set of diverse clinical cases combined with case reports of COVID-19. We showed that Symptoma can accurately distinguish COVID-19 in 96.32% of clinical cases. When considering only COVID-19 symptoms and risk factors, Symptoma identified 100% of those infected when presented with only three signs. Lastly, we showed that Symptoma's accuracy far exceeds that of simple ""yes-no"" questionnaires widely available online. In summary, Symptoma provides unparalleled accuracy in systematically identifying cases of COVID-19 while also considering over 20,000 other diseases. Furthermore, Symptoma allows free text input, furthered with disease-specific follow up questions, in 36 languages. Combined, these results and accessibility give Symptoma the potential to be a key tool in the global fight against COVID-19. The Symptoma predictor is freely available online at https://www.symptoma.com.</jats:p>"
