source,doi,posted_date,title,abstract
Figshare,10.6084/m9.figshare.12000876.v1,2020-03-18,Essay Dampak fenomena Covid-19,Essay mengenai Covid-19 dan dampaknya
Figshare,10.6084/m9.figshare.12083322.v2,2020-04-04,Estimating the infection fatality rate of COVID 19 in South Korea by using time series correlations,"In absence of individualized data of contagions with COVID-19, we have to<br> use indirect sources for estimating the individual fatality rate, that is, the rate<br> of deceases for those that have been infected with the virus. In this report we<br> will try to find out an estimate of the individualized death rate by looking at one the countries that<br> have made a more extensive testing, South Korea. We will first try<br> to estimate the time from onset to outcome using time series correlation, and from<br> that, we will try and find out inconsistencies in reporting or in these time series."
Figshare,10.6084/m9.figshare.4833527.v1,2020-04-10,"Fighting Viruses And Promoting Mental Health By Gemstones, Myrrh And Aloe Vera's Organic &amp; Active Compounds","This summary was written as a Word file and then converted to PDF format, which gives a summary of methods useful in fighting Covid-19, and there is no funding for this summary"
Figshare,10.6084/m9.figshare.11993973.v1,2020-03-17,Filling the gaps: trying to predict cases in the weekend of March 7-8th in Spain,"The Spanish Government declared a national emergency on March 14th, 2020 due to the coronavirus outbreak. That weekend, daily updates of the Ministry of Health official Bulletins started to be produced on a daily basis. The previous week, during which a government-sponsored parade took place, there were no bulletins. In this report we will try to predict, on the basis of previously published data, the actual numbers of infected and deceased people that could have been published during that two-days blackout. We check the model by using it to predict the data when it was finally updated on March 9th."
Figshare,10.6084/m9.figshare.12084156.v1,2020-04-04,G6PD+SARS-CoV-2 Pathogenesis,COVID-19 aggravates already compromised NO production in cohort with G6PD deficiency. Management of NO level can prevent development of severe ARDS.
Figshare,10.6084/m9.figshare.12019035,2020-03-23,How blood group A might be a risk and blood group O be protected from coronavirus (COVID-19) infections,"When according to the numbers of Wikipedia (although they might be disputed) in countries like Chile, Ecuador, Colombia, Simbabwe and Mexico 59 to 85 percent of the people have blood group O and these countries officially publish extremely low COVID-19 cases and death rates per 1 million inhabitants, this may not alone result from insufficient investigations but might suggest a lower susceptibility of blood group O to the disease. The molecular biology of a virus infection pathogenesis determines the genetic target and the human phenotype-determining enzymes decide about the difference between infection and disease. In the case that <i>O</i>-glycosylation plays a key role in the pathogenesis of coronavirus infections, as was discussed already 14 years ago in a SARS-CoV virus infection and is currently again predicted for SARS-CoV-2 or COVID-19, this would involve the formation of hybrid, serologically A-like, <i>O</i>-GalNAcα1-Ser/Thr-R, Tn (“T nouvelle”) antigenic structures; the virus hypothetically hijacks the metabolism of the host's amino sugar N-acetyl-D-galactosamine (GalNAc) by serine-rich peptides. The resulting intermediate, evolutionary/developmental A-like/Tn structure, which is common to all metazoan growth processes and apparently acts as a host-pathogen functional bridge in different, unrelated infectious diseases, would perform the adhesion of the virus to host cells primarily independent of the ABO blood group. However, apart from the fact that susceptibility to an infection and its severity depend on many factors, individuals with blood group A could not respond with either acquired or innate antibodies to the synthesis of A-like hybrid structures due to clonal selection and phenotypic accommodation of plasma proteins; blood group A individuals would become a preferred target for the virus, which utilizes the ACE receptor-mediated, blood group A-phenotype-determining enzyme activity and performs a further (blood group-A-specific) hybrid binding. In fact, a first statistical study suggests that people with blood group A have a significantly higher risk for acquiring COVID-19, whereas people with blood group O have a significantly lower risk for the infection compared with non-O blood groups (Zhao, J. <i>et al., </i>2020). While these findings await confirmations, blood group O individuals, lacking the blood group-A-determining enzyme, may develop the least molecular contact with the virus and maintain the anti-A/Tn cross-reactive, complement-dependent isoagglutinin activity, which is exerted by the polyreactive, nonimmune immunoglobulin M (IgM), representing the humoral spearhead of innate immunity and a first line of defense.<b>Reference</b>: Zhao, J. <i>et al.</i> Relationship between the ABO Blood Group and the COVID-19 Susceptibility. <i>medRxiv</i> (2020) doi:10.1101/2020.03.11.20031096.<br>"
Figshare,10.6084/m9.figshare.12034962.v1,2020-03-26,NOS+SARS-CoV-2 Pathogenesis,COVID-19 aggravates already compromised NO production in cohort with NOS3 polymorphism. Management of eNOS/iNOS ratio and NO level can prevent development of severe ARDS.
Figshare,10.6084/m9.figshare.12075375.v1,2020-04-03,Reproducibility and reporting practices in COVID-19 preprint manuscripts,"In this study, we analyzed 535 preprint articles related to COVID-19 for eight transparency criteria and recorded study location and funding information. <br>"
Figshare,10.6084/m9.figshare.12116778.v2,2020-04-12,Serological analysis of 1000 Scottish blood donor samples for anti-SARS-CoV-2 antibodies collected in March 2020,First release of SARS-CoV-2 serological study results from the Oxford Immunology consortium. Released as a Tweet on April 10th 2020.
Figshare,10.6084/m9.figshare.12022632.v1,2020-03-24,SocialIsolationCovid19.pdf,"This expository essay looks into emergence of the novel coronavirus, its impact and severity and the measures that government bodies are taking to contain and mitigate it. The essay then focuses on the lockdown in the UK and looks into what isolation can mean to a vulnerable subgroup to the covid-19 pandemic: the elderly."
Figshare,10.6084/m9.figshare.12045648,2020-03-30,Some design implications of X-ray crystal structures of SARS-CoV-2 3CLpro,Some design implications of the recently published crystal structure of SARS-CoV-2 3CLpro in complex with an alpha-ketoamide inhibitor are discussed
Figshare,10.6084/m9.figshare.12058560.v1,2020-04-01,syllabus.pdf,"The ongoing outbreak of SARS-COV-2 certainly has major medical and public health aspects. Engineers and quantitative scientists have much to bring to the table in understanding, predicting and mitigating this and other outbreaks. This course, which will be based on rapidly unfolding knowledge, will give students understanding of the key issues to which engineers can contribute."
Figshare,10.6084/m9.figshare.11796642,2020-02-03,The diverse of ACE2 receptor made the inference of host Difficult copy.pdf,"<b>Challenging Host Inference for 2019-nCov Due to the Sequence Diversity in ACE2 Receptor</b><br><b><b><br></b>Since the Wuhan coronavirus (2019-nCov) outbreak, it has been difficult to trace the origin of this virus through the investigation of its intermediate host before passing to human. While most of the inference works focused on viral genome sequence comparison, studies on the diversity of the Angiotensin I Converting Enzyme 2 (ACE2), the wildly recognized receptor for viral infection, has been limited in possible animal hosts. In this study, we analyzed the sequence divergence of ACE2 in the viral binding sites from bats, snakes, alligators, carnivores, even toe animals, rodents, nonhuman primates and humans. Our results showed that the viral binding sites in the ACE2 receptors are diverse between human and other animal species. In contrast, the protein sequences of the MERS receptor CD26 have only one amino acid difference between camel and human (camel V, human T). These analysis indicates complexity of the development of the infection mechanism of 2019-nCov and challenges in identifying the intermediate host(s) solely by bioinformatics approaches. Therefore, well-designed clinical studies and laboratory experiments are needed to determine the spreading path of 2019-nCov.</b><br>"
Figshare,10.6084/m9.figshare.12082119,2020-04-04,"THE HISTORICAL/EVOLUTIONARY CAUSE AND POSSIBLE TREATMENT OF PANDEMIC COVID-19 (SARS-CoV-2, 2019CORONAVIRUS) [World-War III: The blackout of the modern world by neglected small infectious agent]","Background: A virus is a small infectious agent that replicates only inside the living cells of an organism. Viruses can infect all types of life forms, from animals and plants to microorganisms, including bacteria and archaea. In evolution, viruses are an important means of horizontal gene transfer, which increases genetic diversity in a way analogous to sexual reproduction. Influenza (Including (COVID-19), is an infectious disease caused by an influenza virus. Some viruses especially smallpox, throughout history, has killed between 300-500 million people in its 12,000year existence. As modern humans increased in numbers, new infectious diseases emerged, including SARS-CoV-2. We have two groups of virus, RNA and DNA viruses. The most brutal viruses are RNA ones like COVID-19 (Sars-CoV-2 [1] Introduction: Coronaviruses are a group of viruses that cause diseases in mammals and birds. In humans, coronaviruses cause respiratory tract infections that are typically mild, such as some cases of the common cold (among other possible causes, predominantly rhinoviruses), though rarer forms can be lethal, such as SARS, MERS, and COVID-19. Symptoms vary in other species: in chickens, they cause an upper respiratory tract disease, while in cows and pigs they cause diarrhea. Coronaviruses constitute the subfamily Orthocoronavirinae, The genome size, coronaviruses ranges from approximately 27 to 34 kilobases, the largest among known RNA viruses. Discussions and Results: We have researched from the first virus in the planet to the last mutated version which is SARS-COV-2. We have collected many informative data in tables and figures to reach the main cause of 2019Coronavirus and calculated the probability and estimated deaths in the current time. We have discussed about the possible treatment and prevention of the virus and did algebraic calculations on the epidemiology, the size and even the future of this pandemic. The only era which any virus had not been epidemic, were through world war 2, were the German scientists had found the way to fight any viral infections which is very important and can help scientists to reach the main treatment of the new 2019-Coronavirus. We have sorted the deadly and non-deadly coronaviruses and explained how this epidemic had begun through Evolutionary Medicine (EM). The result of the article is that 16% of the whole population in the world has been contaminated which is 1248000000 of 7.8 billion people world-wide. SARS-CoV-2 is an RNA Virus. its nucleic acid is <br>2 <br> <br>single-stranded RNA (ssRNA). The polarity of this virus is positive-sense ((+) ssRNA). Positivesense viral RNA is similar to mRNA and thus can be immediately translated by the host cell. Recombination in RNA viruses appears to be an adaptation for coping with genome damage. Recombination can occur infrequently between animal viruses of the same species but of divergent lineages. The resulting recombinant viruses may sometimes cause an outbreak of infection in humans. RNA viruses have very high mutation rates This is one reason why it is difficult to make effective vaccines to prevent diseases caused by RNA viruses. The resulting recombinant viruses causes an outbreak of infection in humans. Conclusion: In conclusion, the mutation of the SARSCoV and influenza viruses through Drift and Reassortment is the main cause of SARS-CoV-2 through natural selection, Lamarckian Evolution and coevolution which caused this RNA virus so powerful, unpredicted and different in the genome size and nations worldwide. The first Pandemic of Influenza was first detected in 1732 and this virus evolved through natural selection till 2019 which caused the worldwide pandemic of SARS-CoV-2. Based on many studies, inhalation of Ozone plus Sulfur Dioxide, increasing the amounts of L-Glutathione (Which is low in children and older adults and this is the main reason why older adults and children die from this disease.) plus Viral Phage Therapy (VPT) which we discussed fully in this article can be the possible prime treatment of SARS-CoV-2 infection. The seasonal temperature cannot be useful in controlling/reducing the pandemic of this virus since the natural selection, Lamarckian Evolution and high mutation of the virus helps its survival. No antiviral drugs will be useful against SARSCoV-2 because of high rate of mutation and primarily adaptation of the virus to the drugs and even the environmental Temperature."
Figshare,10.6084/m9.figshare.12103797.v1,2020-04-09,THE PANDEMIC OF COVID-19 AND THE USE OF CONTACT LENSES,"This review aims to make clear that applying contact lenses is not a risk factor for infection by coronavirus when the users follow the rules of personal hygiene. In December 2019, a coronavirus (CoV) epidemic broke out in China, causing severe acute respiratory syndrome. Today it has become a pandemic of coronavirus 2019 (COVID-19). In today's patient care environment, physicians and their primary care staff are responsible for ensuring that all guidelines and requirements for the care of all patients are strictly adhered to."
Figshare,10.6084/m9.figshare.12006255.v1,2020-03-19,View: “Scorched Earth“ strategy: The RAS as possible target for treating COVID-19 patients with a combination of three approved pharmaceutical agents.,"An expanded RAS model is considered and the impact of three facts evaluated: (1) Remarkably elevated angiotensin II levels were observed in COVID-19 patients, and elevation correlated to severity of disease and viral load (2) angiotensin II upregulates ACE2 in vitro cell culture (3) the original SARS coronavirus leads to ACE2 downregulation.The argument is put forth, that SARS-CoV-2 in severe cases continually infects new lung tissue along the upregulation of ACE2 and we devise a therapeutic scheme to prevent this outcome. As the medication in question - Aliskiren, Losartan and nitroglycerine - is not experimental but readily available on the market, this could be put into use immediately with the appropriate caution. Lastly, we propose angiotensin II levels in COVID-19 patients be closely monitored."
Figshare,10.6084/m9.figshare.12052638,2020-03-31,White paper.pdf,White paper on COVID19<br>
Figshare,10.6084/m9.figshare.11752749,2020-01-28,Wuhan coronavirus 2019-nCoV – what we can find out on a structural bioinformatics level,<b>Wuhan coronavirus 2019-nCoV – what we can find out on a structural bioinformatics level</b><br>This is a preprint extracted from the website article. The current version is available at https://innophore.com/2019-ncov/. We make new versions of this preprint available here.<br>Version 2020-01-29Version 2020-02-01 included<br>
ResearchGate,10.13140/rg.2.2.25449.24169/5,2020-03-26,"""COVID-19"" in the World and Egypt: Population Pyramids and Recovery Rates",NA
ResearchGate,10.13140/rg.2.2.36367.53922,2020-03-27,"""DUNIA DALAM ANCAMAN PANDEMI: KAJIAN TRANSISI KESEHATAN DAN MORTALITAS AKIBAT COVID-19""",NA
ResearchGate,10.13140/rg.2.2.33764.12163,2020-02-29,"(NADS in COVID-19 - short communication - version 1.1 - 1.5 A4 pages without references - 31.03.2020) Potent NRF2-activating dietary supplements (like resveratrol, curcumin, sulforaphane, “Asea redox supplement” [ARS] etc.) should be clinically tested as high-dose adjuvants in all types of medium and severe cases of aggressive respiratory viral infections (including Influenza A/B/C, measles, Coronavirus-related SARS, MERS, COVID-19) based on their extrapolated cytoprotective antioxidant effects",NA
ResearchGate,10.13140/rg.2.2.21064.88322,2020-03-19,¿El modelo científico-matemático del COVID-19 (Coronavirus) es aplicable al arte y el diseño?,NA
ResearchGate,10.13140/rg.2.2.14904.49924,2020-03-20,¿Entró en la etapa decreciente el contagio de Covid-19?,NA
ResearchGate,10.13140/rg.2.2.32654.92483,2020-03-27,¿Es todavía posible controlar el desarrollo del COVID-19 en África y América? ¿Nos enseñan algo las experiencias italiana y coreana?,NA
ResearchGate,10.13140/rg.2.2.10811.77605,2020-04-03,¿Por qué el jabón funciona muy bien contra el nuevo Coronavirus (SARS-COV-2)?,NA
ResearchGate,10.13140/rg.2.2.10310.42564,2020-03-27,¿QUÉ OCURRE CUANDO DIRECTIVOS DE SALUD PÚBLICA SON REHENES O CÓMPLICES DE LOS POLÍTICOS? EL EJEMPLO MANIFIESTO DE LA PANDEMIA DE COVID-19.,NA
ResearchGate,10.13140/rg.2.2.23971.40488,2020-04-03,Пандемія коронавірусної інфекції COVID-19: короткий аналітичний огляд,NA
ResearchGate,10.13140/rg.2.2.15972.73606,2020-03-27,"Природно лечение за белодробни проблеми, което може да предотврати смъртоносния изход от инфектиране с Корона Вирус COVID-19",NA
ResearchGate,10.13140/rg.2.2.13197.28645,2020-04-03,"Причины высокой смертности и ее распределения по возрастам для пневмонии, вызванной вирусом COVID-19: роль латентного туберкулеза",NA
ResearchGate,10.13140/rg.2.2.35912.06406,2020-04-01,СУЧАСНІ АСПЕКТИ-COVID-19 Сидорчук А.С. 2020,NA
ResearchGate,10.13140/rg.2.2.26460.13446,2020-03-18,"重症COVID-19肺炎： サリドマイドとセレコキシブによる化学療法 Chemotherapeutic Strategy with Synbiotics, Thalidomide and Celecoxib for severe COVID-19 Pneumonia. はだクリニック 医師・薬剤師 羽田正人 clinichada@cy.tnc.ne.jp",NA
ResearchGate,10.13140/rg.2.2.20742.93766/1,2020-04-12,10 Coronavirus Driven Big Challenges for Global Development,NA
ResearchGate,10.13140/rg.2.2.17884.74881,2020-03-05,5' UTR Barcode of Severe Acute Respiratory Syndrome Coronavirus-2 Leads to Insights into Its Virulence,NA
ResearchGate,10.13140/rg.2.2.28264.01283,2020-03-30,A C++ code for predicting COVID-19 cases by least-squares fitting of the Logistic model,NA
ResearchGate,10.13140/rg.2.2.11948.00643,2020-04-09,A COVID-19 EXPÕE O FRÁGIL MODELO FEDERATIVO BRASILEIRO À PROVA,NA
ResearchGate,10.13140/rg.2.2.20008.93446,2020-04-12,A dinâmica de transmissão COVID19 em Santa Catarina,NA
ResearchGate,10.13140/rg.2.2.34571.03364,2020-04-10,A Discourse Analysis on Class Cancellations During the COVID-19 Pandemic,NA
ResearchGate,10.13140/rg.2.2.26158.66886,2020-03-12,A Homological Comparison of the COVID-19 Genome with Influenza Strains from the Last 20 Years,NA
ResearchGate,10.13140/rg.2.2.16463.43685,2020-04-07,A How-To For A Drive-Thru for COVID-19 Testing Facility for Urban Pandemic Response - An Operational Paper,NA
ResearchGate,10.13140/rg.2.2.13195.64809,2020-03-17,A Mathematical Model to Predict the Spread of COVID-19 in a Population and Evaluate the Effectiveness of Containment Strategies,NA
ResearchGate,10.13140/rg.2.2.23633.07525/1,2020-04-05,A novel approach to evaluate the asymptomatic COVID19 contagions https://www.agenpress.it/2020/04/05/quanti-sono-in-italia-i-contagiati-sconosciuti-perche-asintomatici/,NA
ResearchGate,10.13140/rg.2.2.32745.03688/1,2020-03-12,"A novel SEIR model based on the data of quarantined, suspected, hospitalized, identified and recovered cases to forecast the trend of 2019-nCov epidemics after February 12, 2020",NA
ResearchGate,10.13140/rg.2.2.34303.15520/6,2020-03-29,A perspective about Coronavirus Disease 2019 (COVID-19). Full-Text in Spanish,NA
ResearchGate,10.13140/rg.2.2.23882.93128/1,2020-03-22,A Post-Wuhan-COVID-19 Economic Recovery Proposal: The National Domestic Economic Auto-Sustainability Model (NDEAS-Model),NA
ResearchGate,10.13140/rg.2.2.27592.26887,2020-03-21,A Pregnant Woman with COVID-19 in Central America,NA
ResearchGate,10.13140/rg.2.2.30077.72163,2020-03-18,A PROTOTYPE MODEL OF GEOREFERENCING THE INHERENT RISK OF CONTAGION FROM COVID-19,NA
ResearchGate,10.13140/rg.2.2.28237.79846,2020-03-31,A resiliência em tempos de COVID-19,NA
ResearchGate,10.13140/rg.2.2.31927.47526,2020-04-01,"A rise of new pandemic COVID-19: Clinical features, diagnosis and treatment plan: narrative review",NA
ResearchGate,10.13140/rg.2.2.25507.40481,2020-04-08,A sample approach to the estimation of the critical parameters of the SARS-CoV-2 epidemics: an operational design with a focus on the Italian health system,NA
ResearchGate,10.13140/rg.2.2.12885.17121,2020-04-05,A simple growth model for COVID 19,NA
ResearchGate,10.13140/rg.2.2.20652.00641,2020-03-24,A simplified model for expected development of the SARS-CoV-2 (Corona) spread in Germany and US after social distancing,NA
ResearchGate,10.13140/rg.2.2.28224.69120,2020-03-29,A Statistical Approach to Batched Prevalence Testing for Coronavirus,NA
ResearchGate,10.13140/rg.2.2.26501.09445,2020-04-02,A study based on SARS-CoV-2 infection model with reference to India,NA
ResearchGate,10.13140/rg.2.2.29138.09923,2020-04-05,A Study of COVID19 with Limited Testing Kits,NA
ResearchGate,10.13140/rg.2.2.34227.78887,2020-03-28,A Study on Epidemiological Characteristics and ML Based Detection of novel COVID-19,NA
ResearchGate,10.13140/rg.2.2.26818.12486,2020-04-07,A Tentative Simulation Scheme of the Covid-19 Propagation to Help in Managing the First Responding Actions,NA
ResearchGate,10.13140/rg.2.2.31786.98248,2020-02-08,A theoretical discussion of the possibility and possible mechanisms of using sesame oil for prevention of 2019-nCoV (COVID-19 coronavirus) from the perspective of colloid and interface science,NA
ResearchGate,10.13140/rg.2.2.32917.06882/1,2020-03-29,"A Try Studies to Estimate and Predict the Propagation of COVID-19 in France, Europe and World",NA
ResearchGate,10.13140/rg.2.2.31811.96809/6,2020-04-05,"A Try Studies to Estimate and Predict the Propagation of COVID-19 in France, Europe and World (Updated Version)",NA
ResearchGate,10.13140/rg.2.2.32409.16489,2020-03-26,ABM model to explore containment and screening policies to control COVID-19 virus spread,NA
ResearchGate,10.13140/rg.2.2.12941.69608,2020-03-27,ABOUT CORONAVIRUSES,NA
ResearchGate,10.13140/rg.2.2.27493.96484,2020-03-25,Accelerated production of hesperidin-rich citrus pectin from waste citrus peel for prevention and therapy of COVID-19,NA
ResearchGate,10.13140/rg.2.2.20588.10886,2020-03-18,AI for the repurposing of approved or investigational drugs against COVID-19,NA
ResearchGate,10.13140/rg.2.2.33994.31680,2020-04-10,AIJR Preprints Role of Zidovudine and Candesartan in the Novel SARS-CoV-2 Treatment Trials; Theoretical Study,NA
ResearchGate,10.13140/rg.2.2.10156.41602,2020-04-03,Airborne transmission of COVID-19: epidemiologic evidence from two outbreak investigations,NA
ResearchGate,10.13140/rg.2.2.14034.50883,2020-03-17,Aktuelle Empfehlungen zum Umgang mit dem Verdacht auf COVID-19 in der rechtsmedizinischen Routine,NA
